location_name,lat,lng,region,country,water_type,bait_score_hint,last_report_utc,latest_report,historical_report_notes
Balboa Back Bay Dock,33.5987,-117.8826,California,USA,Bay/Harbor,78,2025-08-03T07:30:00Z,"many bay bass were released 730 am to later .....aug 3 2025. no fish for me no bites either 10lb flouro carolina rig","Long running catch log includes mackerel, surf perch, small halibut, calico/kelp bass, barracuda windows, shark bites, and recurring bait activity near dock structure."
Lake Kaweah Slick Rock,36.4147885,-118.9277509,California,USA,Lake,55,2023-02-07T17:00:00Z,"fish are active here with floating carolina and bobber stop strategy; mud and runoff affected clarity after storms","Historical notes include trout plants, bass jumps, mixed trout/catfish catches and multiple no-catch scouting days."
Lake Success West Point,36.0765497,-118.9106086,California,USA,Lake,52,2022-06-01T16:00:00Z,"anchovy carolina rig over rocks had one hit near old launch/Tule side","Repeated scouting reports indicate periodic activity after chum with low conversion."
South Finegold Reservoir,37.0396,-119.6483,California,USA,Reservoir,40,2022-01-01T12:00:00Z,"fish seen historically but inconsistent hookups","Memory-location with low certainty and sparse recent reports."
Little Corona Del Mar,33.5901046,-117.870014,California,USA,Coastal Reef,48,2023-01-01T12:00:00Z,"rad location with intermittent shoreline action","Light anecdotal logs only."
Balboa Pier,33.5985056,-117.9033164,California,USA,Pier,62,2023-01-01T12:00:00Z,"general bait and mixed-species pier action","Recurring mackerel and baitfish references."
Newport Beach Pier,33.6074678,-117.9309998,California,USA,Pier,58,2023-04-30T17:00:00Z,"slow session 8-10am with silversides/smelt and cool water ~59F","Prior reports referenced barracuda/calico expectations and spring warmup timing."
Huntington Beach Pier,33.6531,-118.0061,California,USA,Pier,70,2023-09-09T18:00:00Z,"shark fishing setup with mixed mackerel and cut/live bait strategy","Multiple logs include bat rays, mackerel schools, and variable weekday pressure."
Long Beach Harbor Edge,33.7419998,-118.1875496,California,USA,Harbor,45,2022-01-01T12:00:00Z,"back report indicates strong local fishing windows","Sparse direct catch details."
Castaic Lagoon,34.4986553,-118.6108158,California,USA,Lagoon/Lake,47,2022-01-01T12:00:00Z,"known lagoon/lake target area","Minimal detail."
Lake Arrowhead Access,34.2906126,-117.3599411,California,USA,Lake,35,2022-01-01T12:00:00Z,"no catches logged yet","Recon location."
Castle Rock Bay Havasu,34.565518,-114.3949421,Arizona,USA,Lake,63,2022-01-01T12:00:00Z,"lots of diurnal fish and wildlife activity","Bass-focused historical notes."
Mesquite Bay North Havasu,34.5133492,-114.3702769,Arizona,USA,Lake,66,2022-01-01T12:00:00Z,"great location for largemouth and mixed species","Repeated positive local intel."
Point Gratiot / Pittsburgh Point Havasu,34.4548,-114.3755,Arizona,USA,Lake,68,2022-01-01T12:00:00Z,"great fishing with deep water access from shore","Historical note references deep structure and big-fish opportunity."
Dive Site 5 Havasu,34.4495,-114.3724,Arizona,USA,Lake,64,2023-06-04T15:00:00Z,"striper chasing bait around 8am; timing-sensitive bite windows","Logs include striper/calico-style activity notes, missed hookups and multi-day attempts."
Dive Site 6 Havasu Island,34.4494,-114.3712,Arizona,USA,Lake,61,2023-04-08T15:00:00Z,"big early bites reported with occasional 4-6 lb fish sightings","Includes moon-phase and dawn-window comments."
Catalina Backcountry,33.3866412,-118.4734779,California,USA,Island Coast,43,2022-01-01T12:00:00Z,"excellent hike and legacy fishing memories","No recent measured catches."
